Step,AgentID,utility_not_social,utility_social,social,make_friend
1,0,1.3000000000000003,1.1,0.23,0
1,1,3.7000000000000006,3.2,0.23,0
1,2,2.6000000000000005,2.2,0.23,0
1,3,0.8000000000000002,0.7000000000000001,0.23,0
1,4,0.0,0.0,0.23,0
1,5,2.4000000000000004,2.1,0.23,0
1,6,1.3000000000000003,1.1,0.23,0
1,7,2.6000000000000005,2.2,0.23,0
1,8,1.3000000000000003,1.1,0.23,0
1,9,1.3000000000000003,1.1,0.23,0
1,10,3.400000000000001,2.9000000000000004,0.23,0
1,11,3.2000000000000006,2.8000000000000003,0.23,0
1,12,2.900000000000001,2.5000000000000004,0.23,0
1,13,1.6000000000000003,1.4000000000000001,0.23,0
1,14,1.3000000000000003,1.1,0.23,0
1,15,1.6000000000000003,1.4000000000000001,0.23,0
1,16,0.8000000000000002,0.7000000000000001,0.23,0
1,17,1.6000000000000003,1.4000000000000001,0.23,0
1,18,0.8000000000000002,0.7000000000000001,0.23,0
1,19,0.0,0.0,0.15000000000000002,1
1,20,3.900000000000001,3.3000000000000003,0.23,0
1,21,0.8000000000000002,0.7000000000000001,0.23,0
1,22,1.6000000000000003,1.4000000000000001,0.23,0
1,23,2.1000000000000005,1.8000000000000003,0.23,0
1,24,2.1000000000000005,1.8000000000000003,0.23,0
1,25,0.8000000000000002,0.7000000000000001,0.23,0
1,26,3.400000000000001,2.9000000000000004,0.23,0
1,27,0.0,0.0,0.23,0
1,28,2.6000000000000005,2.2,0.23,0
1,29,0.8000000000000002,0.7000000000000001,0.23,0
1,30,1.3000000000000003,1.1,0.23,0
1,31,2.6000000000000005,2.2,0.23,0
1,32,2.900000000000001,2.5000000000000004,0.23,0
1,33,2.6000000000000005,2.2,0.23,0
1,34,1.3000000000000003,1.1,0.23,0
1,35,0.8000000000000002,0.7000000000000001,0.23,0
1,36,2.1000000000000005,1.8000000000000003,0.23,0
1,37,1.3000000000000003,1.1,0.23,0
1,38,3.900000000000001,3.3000000000000003,0.23,0
1,39,2.1000000000000005,1.8000000000000003,0.23,0
1,40,0.0,0.0,0.23,0
1,41,2.6000000000000005,2.2,0.23,0
1,42,3.400000000000001,2.9000000000000004,0.23,0
1,43,3.400000000000001,2.9000000000000004,0.23,0
1,44,2.4000000000000004,2.1,0.23,0
1,45,1.3000000000000003,1.1,0.23,0
1,46,0.0,0.0,0.15000000000000002,1
1,47,0.8000000000000002,0.7000000000000001,0.23,0
1,48,1.6000000000000003,1.4000000000000001,0.23,0
1,49,0.0,0.0,0.23,0
1,50,0.0,0.0,0.23,0
1,51,1.3000000000000003,1.1,0.23,0
1,52,2.6000000000000005,2.2,0.23,0
1,53,5.200000000000001,4.4,0.2,0
1,54,2.1000000000000005,1.8000000000000003,0.23,0
1,55,2.1000000000000005,1.8000000000000003,0.23,0
1,56,0.8000000000000002,0.7000000000000001,0.23,0
1,57,1.3000000000000003,1.1,0.23,0
1,58,0.0,0.0,0.23,0
1,59,0.8000000000000002,0.7000000000000001,0.23,0
1,60,0.8000000000000002,0.7000000000000001,0.23,0
1,61,0.0,0.0,0.23,0
1,62,1.3000000000000003,1.1,0.23,0
1,63,0.0,0.0,0.15000000000000002,1
1,64,2.1000000000000005,1.8000000000000003,0.23,0
1,65,0.0,0.0,0.15000000000000002,1
1,66,1.3000000000000003,1.1,0.23,0
1,67,0.8000000000000002,0.7000000000000001,0.23,0
1,68,2.6000000000000005,2.2,0.23,0
1,69,0.0,0.0,0.23,0
1,70,2.6000000000000005,2.2,0.23,0
1,71,1.3000000000000003,1.1,0.23,0
1,72,2.6000000000000005,2.2,0.23,0
1,73,1.6000000000000003,1.4000000000000001,0.23,0
1,74,2.1000000000000005,1.8000000000000003,0.23,0
1,75,0.0,0.0,0.23,0
1,76,1.3000000000000003,1.1,0.23,0
1,77,0.0,0.0,0.15000000000000002,1
1,78,3.400000000000001,2.9000000000000004,0.23,0
1,79,0.0,0.0,0.23,0
1,80,4.700000000000001,4.0,0.2,0
1,81,0.8000000000000002,0.7000000000000001,0.23,0
1,82,1.3000000000000003,1.1,0.23,0
1,83,0.8000000000000002,0.7000000000000001,0.23,0
1,84,1.3000000000000003,1.1,0.23,0
1,85,1.3000000000000003,1.1,0.23,0
1,86,2.6000000000000005,2.2,0.23,0
1,87,1.3000000000000003,1.1,0.23,0
1,88,3.400000000000001,2.9000000000000004,0.23,0
1,89,0.8000000000000002,0.7000000000000001,0.23,0
1,90,2.6000000000000005,2.2,0.23,0
1,91,0.0,0.0,0.23,0
1,92,2.4000000000000004,2.1,0.23,0
1,93,5.200000000000001,4.4,0.2,0
1,94,1.3000000000000003,1.1,0.23,0
1,95,1.3000000000000003,1.1,0.23,0
1,96,0.0,0.0,0.15000000000000002,1
1,97,0.0,0.0,0.15000000000000002,1
1,98,0.8000000000000002,0.7000000000000001,0.23,0
1,99,3.900000000000001,3.3000000000000003,0.23,0
